exercise_id,canonical_name,aliases,status,confidence,category,movement_pattern,primary_joints,equipment,safety_tags_set
EX-0031,Spanish Squat Iso,,Jason supplied,CONFIRMED (name + grouping only),knee_mobility_control,knee_control,,,No
EX-0032,Wall Sit Partial Range,,Jason supplied,CONFIRMED (name + grouping only),knee_mobility_control,knee_control,,wall,No
EX-0033,Step-Up Iso Hold,,Jason supplied,CONFIRMED (name + grouping only),knee_mobility_control,knee_control,,,No
EX-0034,Supported Split Squat Iso,,Jason supplied,CONFIRMED (name + grouping only),knee_mobility_control,knee_control,,,No
EX-0035,Patella Glides,,Jason supplied + Jason programmed,CONFIRMED (Jason-described in his own session flow),knee_mobility_control,knee_control,knee,,No
EX-0036,Heel Slide Partial Range,,Jason supplied,CONFIRMED (name + grouping only),knee_mobility_control,knee_control,,,No
EX-0037,90/90 Hip IR PRLO,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0038,90/90 Back Thigh Lift,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0039,90/90 Front Leg Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0040,Hip IR Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0041,Hip ER Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0042,Hip IR ERR,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0043,Hip ER ERR,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0044,Hip Hovers,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0045,Hip Flexion Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0046,Hip Extension Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0047,Hip Abduction Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0048,Hip Adduction Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0049,Quadruped Hip IR Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0050,Quadruped Hip ER Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0051,Prone Hip IR Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0052,Prone Hip ER Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0053,Supine Hip Capsule Lean,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0054,Hip Capsule CARs,,Jason supplied + Jason programmed,CONFIRMED (Jason-described in his own session flow),hip_mobility,mobility,hip,,No
EX-0055,Hip Abducted Rock Back,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0056,Hip Flexion Rocking,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0057,90/90 Transitions,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0058,Shin Box Switch,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,box,No
EX-0059,Assisted 90/90 Switch,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0060,Couch Stretch Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,hip,,No
EX-0061,Half-Kneeling Hip Flexor Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),hip_mobility,mobility,knee; hip,,No
EX-0062,Shoulder Flexion PRLO Wall Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),shoulder_scap_mobility,mobility,shoulder,wall,No
EX-0063,Shoulder Extension Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),shoulder_scap_mobility,mobility,shoulder,,No
EX-0064,Shoulder ER Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),shoulder_scap_mobility,mobility,shoulder,,No
EX-0065,Shoulder IR Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),shoulder_scap_mobility,mobility,shoulder,,No
EX-0066,Shoulder ER ERR,,Jason supplied,CONFIRMED (name + grouping only),shoulder_scap_mobility,mobility,shoulder,,No
EX-0067,Shoulder IR ERR,,Jason supplied,CONFIRMED (name + grouping only),shoulder_scap_mobility,mobility,shoulder,,No
EX-0068,Sleeper Position Shoulder IR Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),shoulder_scap_mobility,mobility,shoulder,,No
EX-0069,Side-Lying Shoulder ER Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),shoulder_scap_mobility,mobility,shoulder,,No
EX-0070,Prone Shoulder Extension Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),shoulder_scap_mobility,mobility,shoulder,,No
EX-0071,Prone Swimmers,,Jason supplied,CONFIRMED (name + grouping only),shoulder_scap_mobility,mobility,,,No
EX-0072,Prone Shoulder CARs,,Jason supplied,CONFIRMED (name + grouping only),shoulder_scap_mobility,mobility,shoulder,,No
EX-0073,Wall Shoulder CARs,,Jason supplied,CONFIRMED (name + grouping only),shoulder_scap_mobility,mobility,shoulder,wall,No
EX-0074,Reach-Through Shoulder IR Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),shoulder_scap_mobility,mobility,shoulder,,No
EX-0075,Scapular Protraction / Retraction CARs,,Jason supplied,CONFIRMED (name + grouping only),shoulder_scap_mobility,mobility,scapula,,No
EX-0076,Scapular Clocks,,Jason supplied,CONFIRMED (name + grouping only),shoulder_scap_mobility,mobility,scapula,,No
EX-0077,Wall Slide Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),shoulder_scap_mobility,mobility,,wall,No
EX-0078,Serratus Wall Slide,,Jason supplied,CONFIRMED (name + grouping only),shoulder_scap_mobility,mobility,scapula,wall,No
EX-0079,Thoracic Extension Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),spine_breathing,mobility,thoracic,,No
EX-0080,Thoracic Rotation Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),spine_breathing,mobility,thoracic,,No
EX-0081,Quadruped Thoracic Rotation,,Jason supplied,CONFIRMED (name + grouping only),spine_breathing,mobility,thoracic,,No
EX-0082,Open Book Rotation,,Jason supplied,CONFIRMED (name + grouping only),spine_breathing,mobility,,,No
EX-0083,Segmental Cat / Cow,,Jason supplied + Jason programmed,CONFIRMED (name + grouping only) + used/described by Jason,spine_breathing,mobility,,,No
EX-0084,Prone Cobra Active,,Jason supplied,CONFIRMED (name + grouping only),spine_breathing,mobility,,,No
EX-0085,Prone Spinal Extension Lift-Off,,Jason supplied,CONFIRMED (name + grouping only),spine_breathing,mobility,,,No
EX-0086,Seated Thoracic Extension,,Jason supplied,CONFIRMED (name + grouping only),spine_breathing,mobility,thoracic,,No
EX-0087,Wall T-Spine Extension,,Jason supplied,CONFIRMED (name + grouping only),spine_breathing,mobility,thoracic,wall,No
EX-0088,Lumbar Extension PRLO,,Jason supplied,CONFIRMED (name + grouping only),spine_breathing,mobility,lumbar,,No
EX-0089,Lumbar Flexion Control Drill,,Jason supplied,CONFIRMED (name + grouping only),spine_breathing,mobility,lumbar,,No
EX-0090,Supine Pelvic Tilt,,Jason supplied,CONFIRMED (name + grouping only),spine_breathing,mobility,,,No
EX-0091,Deadbug Breathing,,Jason supplied,CONFIRMED (name + grouping only),spine_breathing,mobility,,,No
EX-0092,90/90 Breathing,,Jason supplied,CONFIRMED (name + grouping only),spine_breathing,mobility,hip,,No
EX-0093,Crocodile Breathing,,Jason supplied,CONFIRMED (name + grouping only),spine_breathing,mobility,,,No
EX-0094,Goblet Squat,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,squat,,,No
EX-0095,Box Squat,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,squat,,box,No
EX-0096,High Box Squat,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,squat,,box,No
EX-0097,TRX Assisted Squat,,Jason supplied + Jason programmed,CONFIRMED (name + grouping only) + used/described by Jason,squat_lunge_step,squat,,TRX,No
EX-0098,Landmine Squat,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,squat,,landmine,No
EX-0099,Heels-Elevated Goblet Squat,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,squat,,,No
EX-0100,Counterbalance Squat,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,squat,,,No
EX-0101,Safety Bar Box Squat,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,squat,,safety squat bar; box,No
EX-0102,Front Squat,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,squat,,,Yes
EX-0103,Back Squat,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,squat,,,Yes
EX-0104,Belt Squat,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,squat,,belt squat,No
EX-0105,Leg Press Partial Range,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,squat,,leg press,No
EX-0106,Hack Squat Partial Range,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,squat,,hack squat,No
EX-0107,Spanish Squat,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,squat,,,No
EX-0108,Step-Up Low Box,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,lunge,,box,No
EX-0109,Step-Up High Box,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,lunge,,box,No
EX-0110,Lateral Step-Up,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,lunge,,,No
EX-0111,Controlled Step-Down,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,lunge,,,No
EX-0112,Reverse Step-Down,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,lunge,,,No
EX-0113,Split Squat,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,lunge,,,No
EX-0114,Rear-Foot Elevated Split Squat,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,lunge,,,No
EX-0115,TRX Split Squat,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,lunge,,TRX,No
EX-0116,Supported Split Squat,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,lunge,,,No
EX-0117,Reverse Lunge,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,lunge,,,No
EX-0118,Walking Lunge,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,lunge,,,No
EX-0119,Lateral Lunge,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,lunge,,,No
EX-0120,Cossack Squat,,Jason supplied,CONFIRMED (name + grouping only),squat_lunge_step,lunge,,,No
EX-0121,Hip Thrust,Hip Thrusts,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hip_thrust_bridge,hip,,No
EX-0122,Barbell Hip Thrust,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hip_thrust_bridge,hip,barbell,No
EX-0123,DB Hip Thrust,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hip_thrust_bridge,hip,dumbbell,No
EX-0124,B-Stance Hip Thrust,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hip_thrust_bridge,hip,,No
EX-0125,Single-Leg Hip Thrust,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hip_thrust_bridge,hip,,No
EX-0126,Glute Bridge,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hip_thrust_bridge,hip,,No
EX-0127,Weighted Glute Bridge,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hip_thrust_bridge,hip,,No
EX-0128,B-Stance Glute Bridge,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hip_thrust_bridge,hip,,No
EX-0129,Single-Leg Glute Bridge,Single-Leg Hip Bridge,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hip_thrust_bridge,hip,,No
EX-0130,Hamstring Bridge,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hip_thrust_bridge,,rings,No
EX-0131,Long-Lever Glute Bridge,Long-Lever Bridge,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hip_thrust_bridge,hip,,No
EX-0132,Trap Bar Deadlift,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,trap bar,Yes
EX-0133,Trap Bar Deadlift High Handles,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,trap bar,Yes
EX-0134,Trap Bar Deadlift From Blocks,,Jason supplied + Jason programmed,CONFIRMED (name + grouping only) + used/described by Jason,hinge_bridge_hamstring,hinge,,trap bar,Yes
EX-0135,Romanian Deadlift,,Jason supplied + Jason programmed,CONFIRMED (name + grouping only) + used/described by Jason,hinge_bridge_hamstring,hinge,,,No
EX-0136,DB Romanian Deadlift,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,dumbbell,No
EX-0137,Barbell Romanian Deadlift,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,barbell,No
EX-0138,Kettlebell Romanian Deadlift,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,kettlebell,No
EX-0139,Bench Supported RDL,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,bench,No
EX-0140,Bench Supported Single-Leg RDL,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,bench,No
EX-0141,Single-Leg RDL,,Jason supplied + Jason programmed,CONFIRMED (name + grouping only) + used/described by Jason,hinge_bridge_hamstring,hinge,,,No
EX-0142,Kickstand RDL,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,,No
EX-0143,B-Stance RDL,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,,No
EX-0144,Cable Pull-Through,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,cable,No
EX-0145,Kettlebell Deadlift,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,kettlebell,No
EX-0146,Sumo Deadlift,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,,Yes
EX-0147,Landmine RDL,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,landmine,No
EX-0148,Good Morning,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,,No
EX-0149,Back Extension,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,,No
EX-0150,45-Degree Back Extension,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,,No
EX-0151,Reverse Hyper,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,,No
EX-0152,Hamstring Curl Machine,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,machine; rings,No
EX-0153,Slider Hamstring Curl,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,slider; rings,No
EX-0154,Swiss Ball Hamstring Curl,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,swiss ball; rings,No
EX-0155,Nordic Hamstring Curl,,Jason supplied,CONFIRMED (name + grouping only),hinge_bridge_hamstring,hinge,,rings,No
EX-0156,Cable Hip Extension,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),hip,cable,No
EX-0157,Cable Hip Abduction,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),hip,cable,No
EX-0158,Cable Hip Adduction,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),hip,cable,No
EX-0159,Cable Hip IR,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),hip,cable,No
EX-0160,Cable Hip ER,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),hip,cable,No
EX-0161,Banded Clamshell,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),hip,band,No
EX-0162,Side-Lying Hip Abduction,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),hip,,No
EX-0163,Side Plank Hip Abduction,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),hip,,No
EX-0164,Monster Walk,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),,,No
EX-0165,Lateral Band Walk,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),,band,No
EX-0166,Standing Hip Airplane Supported,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),hip,,No
EX-0167,Hip Airplane,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),hip,,No
EX-0168,Quadruped Fire Hydrant,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),hip,,No
EX-0169,Quadruped Donkey Kick,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),,,No
EX-0170,Glute Med Wall Press,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),hip,wall,No
EX-0171,Copenhagen Plank Short Lever,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),hip,,No
EX-0172,Copenhagen Plank Long Lever,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),hip,,No
EX-0173,Adductor Side Plank,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),hip,,No
EX-0174,Frog Pump,,Jason supplied,CONFIRMED (name + grouping only),hip_accessory,hip_accessory (not in Jason's pattern list),,,No
EX-0175,DB Row,Dumbbell Row; Single Arm DB Row; Single Arm Dumbbell Row; 3 Point Row; Three Point Row,Jason supplied,CONFIRMED (name + grouping only),horizontal_pull,horizontal_pull,,dumbbell,No
EX-0176,Bench Supported Row,,Jason supplied,CONFIRMED (name + grouping only),horizontal_pull,horizontal_pull,,bench,No
EX-0177,Chest Supported Row,,Jason supplied + Jason programmed,CONFIRMED (name + grouping only) + used/described by Jason,horizontal_pull,horizontal_pull,,,No
EX-0178,Incline Bench DB Row,Incline Bench Row,Jason supplied,CONFIRMED (name + grouping only),horizontal_pull,horizontal_pull,,dumbbell; bench,No
EX-0179,Cable Row,,Jason supplied,CONFIRMED (name + grouping only),horizontal_pull,horizontal_pull,,cable,No
EX-0180,Seated Cable Row,,Jason supplied,CONFIRMED (name + grouping only),horizontal_pull,horizontal_pull,,cable,No
EX-0181,Single Arm Cable Row,,Jason supplied,CONFIRMED (name + grouping only),horizontal_pull,horizontal_pull,,cable,No
EX-0182,Machine Row,,Jason supplied,CONFIRMED (name + grouping only),horizontal_pull,horizontal_pull,,machine,No
EX-0183,TRX Row,,Jason supplied + Jason programmed,CONFIRMED (name + grouping only) + used/described by Jason,horizontal_pull,horizontal_pull,,TRX,No
EX-0184,Inverted Row,,Jason supplied,CONFIRMED (name + grouping only),horizontal_pull,horizontal_pull,,,No
EX-0185,Ring Row,,Jason supplied,CONFIRMED (name + grouping only),horizontal_pull,horizontal_pull,,rings,No
EX-0186,Barbell Row,,Jason supplied,CONFIRMED (name + grouping only),horizontal_pull,horizontal_pull,,barbell,No
EX-0187,Pendlay Row,,Jason supplied,CONFIRMED (name + grouping only),horizontal_pull,horizontal_pull,,,No
EX-0188,Meadows Row,,Jason supplied,CONFIRMED (name + grouping only),horizontal_pull,horizontal_pull,,,No
EX-0189,Landmine Row,,Jason supplied,CONFIRMED (name + grouping only),horizontal_pull,horizontal_pull,,landmine,No
EX-0190,T-Bar Row,,Jason supplied,CONFIRMED (name + grouping only),horizontal_pull,horizontal_pull,,T-bar,No
EX-0191,Band Row,,Jason supplied,CONFIRMED (name + grouping only),horizontal_pull,horizontal_pull,,band,No
EX-0192,Pull-Up,Pullup; Pull-Ups; Pullups,Jason supplied,CONFIRMED (name + grouping only),vertical_pull,vertical_pull,,pull-up bar,No
EX-0193,Assisted Pull-Up,,Jason supplied,CONFIRMED (name + grouping only),vertical_pull,vertical_pull,,pull-up bar,No
EX-0194,Band-Assisted Pull-Up,,Jason supplied,CONFIRMED (name + grouping only),vertical_pull,vertical_pull,,band; pull-up bar,No
EX-0195,Neutral Grip Pull-Up,,Jason supplied,CONFIRMED (name + grouping only),vertical_pull,vertical_pull,,pull-up bar,No
EX-0196,Chin-Up,,Jason supplied,CONFIRMED (name + grouping only),vertical_pull,vertical_pull,,pull-up bar,No
EX-0197,Assisted Chin-Up,,Jason supplied,CONFIRMED (name + grouping only),vertical_pull,vertical_pull,,pull-up bar,No
EX-0198,Lat Pulldown,,Jason supplied + Jason programmed,CONFIRMED (name + grouping only) + used/described by Jason,vertical_pull,vertical_pull,,,No
EX-0199,Neutral Grip Lat Pulldown,Neutral Grip Pulldown,Jason supplied,CONFIRMED (name + grouping only),vertical_pull,vertical_pull,,,No
EX-0200,Single Arm Lat Pulldown,,Jason supplied,CONFIRMED (name + grouping only),vertical_pull,vertical_pull,,,No
EX-0201,Cable Pullover,,Jason supplied,CONFIRMED (name + grouping only),vertical_pull,vertical_pull,,cable,No
EX-0202,Straight Arm Pulldown,,Jason supplied + Jason programmed,CONFIRMED (name + grouping only) + used/described by Jason,vertical_pull,vertical_pull,,,No
EX-0203,Machine Pulldown,,Jason supplied,CONFIRMED (name + grouping only),vertical_pull,vertical_pull,,machine,No
EX-0204,Scap Pull-Up,,Jason supplied,CONFIRMED (name + grouping only),vertical_pull,vertical_pull,scapula,pull-up bar,No
EX-0205,Dead Hang,,Jason supplied,CONFIRMED (name + grouping only),vertical_pull,vertical_pull,,pull-up bar,No
EX-0206,Active Hang,,Jason supplied,CONFIRMED (name + grouping only),vertical_pull,vertical_pull,,,No
EX-0207,Face Pull,,Jason supplied,CONFIRMED (name + grouping only),shoulder_accessory,shoulder_accessory (not in Jason's pattern list),,,No
EX-0208,Cable External Rotation,,Jason supplied,CONFIRMED (name + grouping only),shoulder_accessory,shoulder_accessory (not in Jason's pattern list),,cable,No
EX-0209,Band External Rotation,,Jason supplied,CONFIRMED (name + grouping only),shoulder_accessory,shoulder_accessory (not in Jason's pattern list),,band,No
EX-0210,Cable Internal Rotation,,Jason supplied,CONFIRMED (name + grouping only),shoulder_accessory,shoulder_accessory (not in Jason's pattern list),,cable,No
EX-0211,Band Internal Rotation,,Jason supplied,CONFIRMED (name + grouping only),shoulder_accessory,shoulder_accessory (not in Jason's pattern list),,band,No
EX-0212,Side-Lying External Rotation,,Jason supplied,CONFIRMED (name + grouping only),shoulder_accessory,shoulder_accessory (not in Jason's pattern list),,,No
EX-0213,Prone Y,,Jason supplied,CONFIRMED (name + grouping only),shoulder_accessory,shoulder_accessory (not in Jason's pattern list),,,No
EX-0214,Prone T,,Jason supplied,CONFIRMED (name + grouping only),shoulder_accessory,shoulder_accessory (not in Jason's pattern list),,,No
EX-0215,Prone W,,Jason supplied,CONFIRMED (name + grouping only),shoulder_accessory,shoulder_accessory (not in Jason's pattern list),,,No
