review_priority,legacy_id,name,library,modality,primary_joint,secondary_joints,pattern,contraindications,legacy_contraindicated_if,canonical_exercise_id,review_status,reviewer,reviewed_at,coach_review_notes
P0_missing_tags,landmine_sl_rdl,Landmine Single Leg RDL,external_training,Strength,hip,hamstring | lumbar,hinge_unilateral,,,,unreviewed,,,
P0_missing_tags,pullv_lat_pulldown,Lat Pulldown (Close and Wide Grip),external_training,Strength,scapular,shoulder | elbow,pull_vert,,,,unreviewed,,,
P0_missing_tags,power_lat_jump_stick,Lateral Jump and Stick,external_training,Plyometric,hip,ankle | knee,jump,,,,unreviewed,,,
P0_missing_tags,wu_monster_walks,Monster Walks,external_training,Warmup,hip,knee,lateral,,,,unreviewed,,,
P0_missing_tags,corr_on_horse_off_horse,On Horse Off Horse,external_training,Corrective,hip,shoulder,stabilization,,,,unreviewed,,,
P0_missing_tags,rot_pallof_press,Pallof Press (Standing Anti-Rotation),external_training,Core,lumbar,hip | shoulder,antirotation,,,,unreviewed,,,
P0_missing_tags,physioball_circles,Physioball Circles (Plank),external_training,Core,lumbar,shoulder | hip,antirotation,,,,unreviewed,,,
P0_missing_tags,physioball_hamstring_curl,Physioball Hamstring Curl,external_training,Strength,hamstring,hip | knee,hamstring_curl,,,,unreviewed,,,
P0_missing_tags,physioball_saw,Physioball Saw (Plank),external_training,Core,lumbar,shoulder | hip,antiextension,,,,unreviewed,,,
P0_missing_tags,training_table_pilates_rolldown,Pilates Roll-Down (Training Table),external_training,Corrective,lumbar,thoracic | hip,spinal_articulation,,,,unreviewed,,,
P0_missing_tags,wu_pogo_hops,Pogo Hops,external_training,Plyometric,ankle,knee | hip,jump,,,,unreviewed,,,
P0_missing_tags,rot_pulley_bottom_up_horiz_top_down,"Pulley Rotation (Bottom-Up, Horizontal, Top-Down)",external_training,Strength,thoracic,hip,rotation,,,,unreviewed,,,
P0_missing_tags,corr_reach_through_rotate,Reach Through and Rotate (Thread the Needle),external_training,Mobility,thoracic,shoulder,rotation,,,,unreviewed,,,
P0_missing_tags,power_reactive_multi_vert,Reactive Vertical Jumps (Multiple),external_training,Plyometric,hip,ankle | knee,jump,,,,unreviewed,,,
P0_missing_tags,corr_rock_and_reach,Rock and Reach,external_training,Warmup,hip,shoulder | thoracic,dynamic_mobility,,,,unreviewed,,,
P0_missing_tags,cond_row_intervals,Rower Intervals,external_training,Conditioning,hip,scapular | lumbar,cyclic,,,,unreviewed,,,
P0_missing_tags,wu_seal_jacks,Seal Jacks,external_training,Plyometric,shoulder,hip | ankle,full_body,,,,unreviewed,,,
P0_missing_tags,wu_shuffles,Shuffles,external_training,Warmup,hip,ankle | knee,lateral,,,,unreviewed,,,
P0_missing_tags,alf_side_plank,Side Plank,external_training,Core,lumbar,hip | shoulder,antilateral,,,,unreviewed,,,
P0_missing_tags,alf_side_plank_leg_lift,Side Plank with Top Leg Lift,external_training,Core,lumbar,hip,antilateral,,,,unreviewed,,,
P0_missing_tags,pullv_sa_pulldown,Single Arm Cable Pulldown,external_training,Strength,scapular,shoulder,pull_vert,,,,unreviewed,,,
P0_missing_tags,pullh_sa_db_row,Single Arm Dumbbell Row,external_training,Strength,scapular,shoulder | elbow,row,,,,unreviewed,,,
P0_missing_tags,corr_sl_hockey_rockers,Single Leg Hockey Rockers,external_training,Mobility,hip,ankle,rocker,,,,unreviewed,,,
P0_missing_tags,single_leg_hip_bridge,Single-Leg Hip Bridge,external_training,Strength,hip,hamstring,hinge_unilateral,,,,unreviewed,,,
P0_missing_tags,wu_skips_linear_lateral,Skips (linear and lateral),external_training,Plyometric,ankle,hip | knee,gait,,,,unreviewed,,,
P0_missing_tags,cond_sled_drag,Sled Drag (Forward or Backward),external_training,Conditioning,hip,ankle | knee,pull,,,,unreviewed,,,
P0_missing_tags,cond_sled_push,Sled Push,external_training,Conditioning,hip,ankle | knee,push,,,,unreviewed,,,
P0_missing_tags,slide_hamstring_curls,Slide Board Hamstring Curls,external_training,Strength,hamstring,hip | knee,hamstring_curl,,,,unreviewed,,,
P0_missing_tags,slide_lateral_lunge,Slide Board Lateral Lunge,external_training,Strength,hip,knee | ankle,lunge_lateral,,,,unreviewed,,,
P0_missing_tags,rot_standing_cable_core_rotation,Standing Cable Core Rotation,external_training,Strength,thoracic,hip,rotation,,,,unreviewed,,,
P0_missing_tags,rot_standing_chops,Standing Chops,external_training,Strength,thoracic,hip | shoulder,chop,,,,unreviewed,,,
P0_missing_tags,rot_standing_lifts,Standing Lifts,external_training,Strength,thoracic,hip | shoulder,lift,,,,unreviewed,,,
P0_missing_tags,accel_starts_from_positions,Starts from Different Positions,external_training,Speed,hip,ankle,accel,,,,unreviewed,,,
P0_missing_tags,step_up,Step Up,external_training,Strength,hip,knee | ankle,squat_unilateral,,,,unreviewed,,,
P0_missing_tags,accel_stops_half_speed,Stops at Half Speed,external_training,Speed,hip,knee,decel,,,,unreviewed,,,
P0_missing_tags,corr_straight_leg_lowers,Straight Leg Lowers,external_training,Core,lumbar,hip,antiextension,,,,unreviewed,,,
P0_missing_tags,corr_straight_leg_raises,Straight Leg Raises,external_training,Core,hip,lumbar,antiextension,,,,unreviewed,,,
P0_missing_tags,car_suitcase_carry,Suitcase Carry,external_training,Carry,lumbar,hip | scapular,carry_unilateral,,,,unreviewed,,,
P0_missing_tags,alf_suitcase_march,Suitcase March,external_training,Core,lumbar,hip,antilateral,,,,unreviewed,,,
P0_missing_tags,rot_tk_chops,Tall Kneeling Chops,external_training,Strength,thoracic,shoulder,chop,,,,unreviewed,,,
P0_missing_tags,rot_tk_lifts,Tall Kneeling Lifts,external_training,Strength,thoracic,shoulder,lift,,,,unreviewed,,,
P0_missing_tags,trx_assisted_split_squat,TRX Assisted Split Squat,external_training,Strength,hip,knee,squat_split,,,,unreviewed,,,
P0_missing_tags,trx_bodyweight_sl_rdl,TRX Bodyweight Single Leg RDL,external_training,Strength,hip,hamstring,hinge_unilateral,,,,unreviewed,,,
P0_missing_tags,trx_double_leg_hinge,TRX Double-Leg Hinge,external_training,Strength,hip,hamstring | lumbar,hinge_teach,,,,unreviewed,,,
P0_missing_tags,pullh_trx_row,TRX Row,external_training,Strength,scapular,shoulder | elbow,row,,,,unreviewed,,,
P0_missing_tags,trx_split_stance_hinge,TRX Split-Stance Hinge,external_training,Strength,hip,hamstring,hinge_unilateral,,,,unreviewed,,,
P0_missing_tags,power_vert_jump_stick,Vertical Jump and Stick,external_training,Plyometric,hip,ankle | knee,jump,,,,unreviewed,,,
P0_missing_tags,accel_wall_drill,Wall Drill,external_training,Speed,hip,ankle,accel,,,,unreviewed,,,
P0_missing_tags,ae_front_plank_weighted,Weighted Front Plank,external_training,Core,lumbar,hip | shoulder,antiextension,,,,unreviewed,,,
P1_verify_existing_tags,base_pos_90_90,90/90,base_positions,BASE POSITION,,,,Acute knee pain or recent knee surgery (position loads both knees end-range) | Acute hip labral flare (position compresses the hip capsule) | Acute low back pain with radicular symptoms | Meniscus flare on either knee | Post-surgical hip (ask clinician),,,unreviewed,,,
P1_verify_existing_tags,base_pos_bear_sit,Bear Sit,base_positions,BASE POSITION,,,,Acute knee pain | Recent knee surgery | Acute low back pain (if flexion intolerant) | Acute hip flare,,,unreviewed,,,
P1_verify_existing_tags,base_pos_butterfly,Butterfly,base_positions,BASE POSITION,,,,Acute knee pain (butterfly loads the medial knee) | Acute hip flare | Adductor strain acute phase | Recent knee surgery,,,unreviewed,,,
P1_verify_existing_tags,base_pos_cossack,Cossack,base_positions,BASE POSITION,,,,Acute adductor strain | Acute knee pain | Recent knee surgery | Acute hip flare,,,unreviewed,,,
P1_verify_existing_tags,base_pos_couch_stretch,Couch Stretch,base_positions,BASE POSITION,,,,Acute knee pain (especially back knee - deep flexion) | Recent knee surgery | Acute hip flexor strain | Quad strain,,,unreviewed,,,
P1_verify_existing_tags,base_pos_deep_squat,Deep Squat (Passive Hold),base_positions,BASE POSITION,,,,Acute knee pain (deep squat loads knee heavily) | Recent knee surgery | Meniscus flare | Acute hip labral flare | Acute low back pain (especially flexion-related),,,unreviewed,,,
P1_verify_existing_tags,base_pos_half_kneeling,Half-Kneeling,base_positions,BASE POSITION,,,,Acute knee pain (back knee specifically) | Acute hip flexor strain | Recent knee surgery | Front ankle acute injury,,,unreviewed,,,
P1_verify_existing_tags,base_pos_long_sit,Long Sit,base_positions,BASE POSITION,,,,Acute hamstring strain | Acute low back pain (particularly disc-related flexion-intolerant) | Recent knee surgery preventing full extension,,,unreviewed,,,
P1_verify_existing_tags,base_pos_number_4,Number 4 (Figure 4),base_positions,BASE POSITION,,,,"Acute knee pain on the crossed leg side | Acute hip labral flare | SI joint acute irritation | Piriformis syndrome acute phase (paradoxically - figure 4 often prescribed for this, but acute flare should be avoided)",,,unreviewed,,,
P1_verify_existing_tags,base_pos_pigeon,Pigeon,base_positions,BASE POSITION,,,,Acute knee pain - especially medial knee (pigeon loads the inside of the front knee) | Meniscus flare - pigeon compresses the knee joint | Acute hip labral flare (anterior impingement common in this position) | SI joint irritation acute phase | Total knee replacement early phase,,,unreviewed,,,
P1_verify_existing_tags,base_pos_prone,Prone,base_positions,BASE POSITION,,,,Pregnancy 2nd/3rd trimester | Acute extension-intolerant low back (avoid press-ups) | Acute cervical issues (avoid prolonged forehead on floor),,,unreviewed,,,
P1_verify_existing_tags,base_pos_quadruped,Quadruped,base_positions,BASE POSITION,,,,Acute wrist pain | Acute knee pain | Acute shoulder pain | Pregnancy later stages (position gets harder but not contraindicated),,,unreviewed,,,
P1_verify_existing_tags,base_pos_runners_lunge,Runner's Lunge,base_positions,BASE POSITION,,,,Acute knee pain | Recent knee surgery | Acute hip flexor strain | Acute hamstring strain,,,unreviewed,,,
P1_verify_existing_tags,base_pos_side_lying,Side-Lying,base_positions,BASE POSITION,,,,"Acute shoulder pain (bottom shoulder) | Rib or chest wall pain | Pregnancy (side-lying is generally recommended, but check)",,,unreviewed,,,
P1_verify_existing_tags,base_pos_standing,Standing,base_positions,BASE POSITION,,,,Acute vertigo / vestibular issues (avoid unsupported standing CARs) | Active syncope / orthostatic hypotension issues,,,unreviewed,,,
P1_verify_existing_tags,base_pos_straddle,Straddle,base_positions,BASE POSITION,,,,Acute adductor strain | Acute knee pain (especially medial) | Acute hamstring strain | Acute low back pain (flexion intolerant),,,unreviewed,,,
P1_verify_existing_tags,base_pos_supine,Supine,base_positions,BASE POSITION,,,,Pregnancy 2nd/3rd trimester (avoid prolonged supine) | Acute severe reflux (not supine for any duration) | Post-surgical recent abdominal (check clinician),,,unreviewed,,,
P1_verify_existing_tags,base_pos_tall_kneeling,Tall Kneeling,base_positions,BASE POSITION,,,,Acute knee pain | Recent knee surgery | Toe or forefoot acute injury (if toes tucked) | Meniscus flare,,,unreviewed,,,
P1_verify_existing_tags,ankle_car_half_kneeling_l6,Ankle CAR LVI - Movement Focus - Half Kneeling,cars,LVI,ankle,,,acute_ankle_pain | recent_ankle_sprain_acute | post_surgical_ankle,,,unreviewed,,,
P1_verify_existing_tags,ankle_car_seated_l6,Ankle CAR LVI - Movement Focus - Seated,cars,LVI,ankle,,,acute_ankle_pain | recent_ankle_sprain_acute | post_surgical_ankle,,,unreviewed,,,
P1_verify_existing_tags,ankle_car_single_leg_standing_l6,Ankle CAR LVI - Movement Focus - Single Leg Standing,cars,LVI,ankle,,,acute_ankle_pain | recent_ankle_sprain_acute | post_surgical_ankle,,,unreviewed,,,
P1_verify_existing_tags,ankle_car_standing_l6,Ankle CAR LVI - Movement Focus - Standing,cars,LVI,ankle,,,acute_ankle_pain | recent_ankle_sprain_acute | post_surgical_ankle,,,unreviewed,,,
P1_verify_existing_tags,ankle_car_half_kneeling_l7,Ankle CAR LVII - Articular Focus - Half Kneeling,cars,LVII,ankle,,,acute_ankle_pain | recent_ankle_sprain_acute | post_surgical_ankle,,,unreviewed,,,
P1_verify_existing_tags,ankle_car_seated_l7,Ankle CAR LVII - Articular Focus - Seated,cars,LVII,ankle,,,acute_ankle_pain | recent_ankle_sprain_acute | post_surgical_ankle,,,unreviewed,,,
P1_verify_existing_tags,ankle_car_single_leg_standing_l7,Ankle CAR LVII - Articular Focus - Single Leg Standing,cars,LVII,ankle,,,acute_ankle_pain | recent_ankle_sprain_acute | post_surgical_ankle,,,unreviewed,,,
P1_verify_existing_tags,ankle_car_standing_l7,Ankle CAR LVII - Articular Focus - Standing,cars,LVII,ankle,,,acute_ankle_pain | recent_ankle_sprain_acute | post_surgical_ankle,,,unreviewed,,,
P1_verify_existing_tags,ankle_car_half_kneeling_l8,Ankle CAR LVIII - Capacity Focus - Half Kneeling,cars,LVIII,ankle,,,acute_ankle_pain | recent_ankle_sprain_acute | post_surgical_ankle,,,unreviewed,,,
P1_verify_existing_tags,ankle_car_seated_l8,Ankle CAR LVIII - Capacity Focus - Seated,cars,LVIII,ankle,,,acute_ankle_pain | recent_ankle_sprain_acute | post_surgical_ankle,,,unreviewed,,,
P1_verify_existing_tags,ankle_car_single_leg_standing_l8,Ankle CAR LVIII - Capacity Focus - Single Leg Standing,cars,LVIII,ankle,,,acute_ankle_pain | recent_ankle_sprain_acute | post_surgical_ankle,,,unreviewed,,,
P1_verify_existing_tags,ankle_car_standing_l8,Ankle CAR LVIII - Capacity Focus - Standing,cars,LVIII,ankle,,,acute_ankle_pain | recent_ankle_sprain_acute | post_surgical_ankle,,,unreviewed,,,
P1_verify_existing_tags,cervical_car_quadruped_l6,Cervical CAR LVI - Movement Focus - Quadruped,cars,LVI,cervical,,,acute_neck_pain | radicular_symptoms | vestibular_issues | recent_cervical_injury,,,unreviewed,,,
P1_verify_existing_tags,cervical_car_seated_tall_l6,Cervical CAR LVI - Movement Focus - Seated Tall,cars,LVI,cervical,,,acute_neck_pain | radicular_symptoms | vestibular_issues | recent_cervical_injury,,,unreviewed,,,
P1_verify_existing_tags,cervical_car_standing_tall_l6,Cervical CAR LVI - Movement Focus - Standing Tall,cars,LVI,cervical,,,acute_neck_pain | radicular_symptoms | vestibular_issues | recent_cervical_injury,,,unreviewed,,,
P1_verify_existing_tags,cervical_car_supine_l6,Cervical CAR LVI - Movement Focus - Supine,cars,LVI,cervical,,,acute_neck_pain | radicular_symptoms | vestibular_issues | recent_cervical_injury,,,unreviewed,,,
P1_verify_existing_tags,cervical_car_quadruped_l7,Cervical CAR LVII - Articular Focus - Quadruped,cars,LVII,cervical,,,acute_neck_pain | radicular_symptoms | vestibular_issues | recent_cervical_injury,,,unreviewed,,,
P1_verify_existing_tags,cervical_car_seated_tall_l7,Cervical CAR LVII - Articular Focus - Seated Tall,cars,LVII,cervical,,,acute_neck_pain | radicular_symptoms | vestibular_issues | recent_cervical_injury,,,unreviewed,,,
P1_verify_existing_tags,cervical_car_standing_tall_l7,Cervical CAR LVII - Articular Focus - Standing Tall,cars,LVII,cervical,,,acute_neck_pain | radicular_symptoms | vestibular_issues | recent_cervical_injury,,,unreviewed,,,
P1_verify_existing_tags,cervical_car_supine_l7,Cervical CAR LVII - Articular Focus - Supine,cars,LVII,cervical,,,acute_neck_pain | radicular_symptoms | vestibular_issues | recent_cervical_injury,,,unreviewed,,,
P1_verify_existing_tags,cervical_car_quadruped_l8,Cervical CAR LVIII - Capacity Focus - Quadruped,cars,LVIII,cervical,,,acute_neck_pain | radicular_symptoms | vestibular_issues | recent_cervical_injury,,,unreviewed,,,
P1_verify_existing_tags,cervical_car_seated_tall_l8,Cervical CAR LVIII - Capacity Focus - Seated Tall,cars,LVIII,cervical,,,acute_neck_pain | radicular_symptoms | vestibular_issues | recent_cervical_injury,,,unreviewed,,,
P1_verify_existing_tags,cervical_car_standing_tall_l8,Cervical CAR LVIII - Capacity Focus - Standing Tall,cars,LVIII,cervical,,,acute_neck_pain | radicular_symptoms | vestibular_issues | recent_cervical_injury,,,unreviewed,,,
P1_verify_existing_tags,cervical_car_supine_l8,Cervical CAR LVIII - Capacity Focus - Supine,cars,LVIII,cervical,,,acute_neck_pain | radicular_symptoms | vestibular_issues | recent_cervical_injury,,,unreviewed,,,
P1_verify_existing_tags,elbow_car_quadruped_loaded_l6,Elbow CAR LVI - Movement Focus - Quadruped Loaded,cars,LVI,elbow,,,acute_elbow_pain | recent_elbow_injury,,,unreviewed,,,
P1_verify_existing_tags,elbow_car_seated_l6,Elbow CAR LVI - Movement Focus - Seated,cars,LVI,elbow,,,acute_elbow_pain | recent_elbow_injury,,,unreviewed,,,
P1_verify_existing_tags,elbow_car_standing_l6,Elbow CAR LVI - Movement Focus - Standing,cars,LVI,elbow,,,acute_elbow_pain | recent_elbow_injury,,,unreviewed,,,
P1_verify_existing_tags,elbow_car_tall_kneeling_l6,Elbow CAR LVI - Movement Focus - Tall Kneeling,cars,LVI,elbow,,,acute_elbow_pain | recent_elbow_injury,,,unreviewed,,,
P1_verify_existing_tags,elbow_car_quadruped_loaded_l7,Elbow CAR LVII - Articular Focus - Quadruped Loaded,cars,LVII,elbow,,,acute_elbow_pain | recent_elbow_injury,,,unreviewed,,,
P1_verify_existing_tags,elbow_car_seated_l7,Elbow CAR LVII - Articular Focus - Seated,cars,LVII,elbow,,,acute_elbow_pain | recent_elbow_injury,,,unreviewed,,,
P1_verify_existing_tags,elbow_car_standing_l7,Elbow CAR LVII - Articular Focus - Standing,cars,LVII,elbow,,,acute_elbow_pain | recent_elbow_injury,,,unreviewed,,,
P1_verify_existing_tags,elbow_car_tall_kneeling_l7,Elbow CAR LVII - Articular Focus - Tall Kneeling,cars,LVII,elbow,,,acute_elbow_pain | recent_elbow_injury,,,unreviewed,,,
P1_verify_existing_tags,elbow_car_quadruped_loaded_l8,Elbow CAR LVIII - Capacity Focus - Quadruped Loaded,cars,LVIII,elbow,,,acute_elbow_pain | recent_elbow_injury,,,unreviewed,,,
P1_verify_existing_tags,elbow_car_seated_l8,Elbow CAR LVIII - Capacity Focus - Seated,cars,LVIII,elbow,,,acute_elbow_pain | recent_elbow_injury,,,unreviewed,,,
P1_verify_existing_tags,elbow_car_standing_l8,Elbow CAR LVIII - Capacity Focus - Standing,cars,LVIII,elbow,,,acute_elbow_pain | recent_elbow_injury,,,unreviewed,,,
P1_verify_existing_tags,elbow_car_tall_kneeling_l8,Elbow CAR LVIII - Capacity Focus - Tall Kneeling,cars,LVIII,elbow,,,acute_elbow_pain | recent_elbow_injury,,,unreviewed,,,
P1_verify_existing_tags,hip_car_half_kneeling_l6,Hip CAR LVI - Movement Focus - Half Kneeling,cars,LVI,hip,,,acute_hip_pain | recent_hip_surgery | labral_flare,,,unreviewed,,,
P1_verify_existing_tags,hip_car_quadruped_fire_hydrant_l6,Hip CAR LVI - Movement Focus - Quadruped Fire Hydrant,cars,LVI,hip,,,acute_hip_pain | recent_hip_surgery | labral_flare,,,unreviewed,,,
P1_verify_existing_tags,hip_car_seated_90_90_l6,Hip CAR LVI - Movement Focus - Seated 90 90,cars,LVI,hip,,,acute_hip_pain | recent_hip_surgery | labral_flare,,,unreviewed,,,
P1_verify_existing_tags,hip_car_side_lying_l6,Hip CAR LVI - Movement Focus - Side Lying,cars,LVI,hip,,,acute_hip_pain | recent_hip_surgery | labral_flare,,,unreviewed,,,
P1_verify_existing_tags,hip_car_standing_l6,Hip CAR LVI - Movement Focus - Standing,cars,LVI,hip,,,acute_hip_pain | recent_hip_surgery | labral_flare,,,unreviewed,,,
P1_verify_existing_tags,hip_car_half_kneeling_l7,Hip CAR LVII - Articular Focus - Half Kneeling,cars,LVII,hip,,,acute_hip_pain | recent_hip_surgery | labral_flare,,,unreviewed,,,
P1_verify_existing_tags,hip_car_quadruped_fire_hydrant_l7,Hip CAR LVII - Articular Focus - Quadruped Fire Hydrant,cars,LVII,hip,,,acute_hip_pain | recent_hip_surgery | labral_flare,,,unreviewed,,,
P1_verify_existing_tags,hip_car_seated_90_90_l7,Hip CAR LVII - Articular Focus - Seated 90 90,cars,LVII,hip,,,acute_hip_pain | recent_hip_surgery | labral_flare,,,unreviewed,,,
P1_verify_existing_tags,hip_car_side_lying_l7,Hip CAR LVII - Articular Focus - Side Lying,cars,LVII,hip,,,acute_hip_pain | recent_hip_surgery | labral_flare,,,unreviewed,,,
P1_verify_existing_tags,hip_car_standing_l7,Hip CAR LVII - Articular Focus - Standing,cars,LVII,hip,,,acute_hip_pain | recent_hip_surgery | labral_flare,,,unreviewed,,,
P1_verify_existing_tags,hip_car_half_kneeling_l8,Hip CAR LVIII - Capacity Focus - Half Kneeling,cars,LVIII,hip,,,acute_hip_pain | recent_hip_surgery | labral_flare,,,unreviewed,,,
P1_verify_existing_tags,hip_car_quadruped_fire_hydrant_l8,Hip CAR LVIII - Capacity Focus - Quadruped Fire Hydrant,cars,LVIII,hip,,,acute_hip_pain | recent_hip_surgery | labral_flare,,,unreviewed,,,
P1_verify_existing_tags,hip_car_seated_90_90_l8,Hip CAR LVIII - Capacity Focus - Seated 90 90,cars,LVIII,hip,,,acute_hip_pain | recent_hip_surgery | labral_flare,,,unreviewed,,,
P1_verify_existing_tags,hip_car_side_lying_l8,Hip CAR LVIII - Capacity Focus - Side Lying,cars,LVIII,hip,,,acute_hip_pain | recent_hip_surgery | labral_flare,,,unreviewed,,,
P1_verify_existing_tags,hip_car_standing_l8,Hip CAR LVIII - Capacity Focus - Standing,cars,LVIII,hip,,,acute_hip_pain | recent_hip_surgery | labral_flare,,,unreviewed,,,
